name,time,price,location
Podarimo 2 mali muci,26.10.2020.,"
                                0","Slovenska Bistrica, Razgor pri Žabljeku"
Èudovita Taja &amp; Medi (pomagamo pri oddaji),26.10.2020.,Cena po dogovoru ,"Kranj, Kranj"
Oddamo maèke,26.10.2020.,"
                                0","Col, Col"
Simpatièna Lubica &amp; Miki,26.10.2020.,"
                                0","Kranj, Kranj"
oddamo dve èrni mucki,26.10.2020.,"
                                0","Log pri Brezovici, Log pri Brezovici"
Poseben mladièek LUKEC išèe nov dom,26.10.2020.,"
                                0","Ljubljana Moste Polje, Fužine"
Zavržena mucka išèe dom,26.10.2020.,"
                                0","Šmarje pri Jelšah, Bodrišna vas"
Oddam maèke,26.10.2020.,"
                                0","Ljubljana Bežigrad, Bežigrad"
Britanke,26.10.2020.,"
                                200","Ljubljana, Dolenjska"
Maine coon,26.10.2020.,"
                                150","Ljubljana, Podlipoglav"
Guliver,26.10.2020.,"
                                0","Celje, Celje"
Maine Coon,25.10.2020.,"
                                300",Unknown
Levjesrèna maèka,25.10.2020.,"
                                15","Velenje, Velenje"
mucka podarim,25.10.2020.,"
                                0","Cerknica, Cerknica"
Podarim mlado muco,25.10.2020.,"
                                0","Šoštanj, Gaberke"
Mladièki pasme SOMALI (dolgodlaka abesinka),25.10.2020.,"
                                700","Ljubljana Bežigrad, Nadgorica"
ODDAJA MLADIH MUCKOV,25.10.2020.,"
                                0","Škofljica, Lavrica"
Trije mladi mucki išèejo dom,25.10.2020.,"
                                0","Ormož, Žerovinci"
Mali mucek Popi,25.10.2020.,"
                                80","Šentjur, Drobinsko"
MLADI MUCKI,25.10.2020.,"
                                100","Ljubljana Šiška, Šiška"
Pezijska zlatna mucke,25.10.2020.,"
                                600","Sisaško-moslavška, Kutina"
mladi muci nudimo zelo prijazen dom,25.10.2020.,"
                                0","Ljubljana Center, Center"
siamski muc,24.10.2020.,"
                                1","Maribor, Ostalo"
maine coon,24.10.2020.,"
                                200","Novo mesto, Novo mesto"
BRITANKA - MLADIÈKI,24.10.2020.,"
                                410","Vuzenica, Vuzenica"
